Lookup Term,Start,End,Company
#ETH,2013-01-01,2013-03-01,ETH#
#ETH,2014-01-01,2014-03-01,ETH#
#ETH,2015-01-01,2015-03-01,ETH#
#ETH,2016-01-01,2016-03-01,ETH#
#ETH,2017-01-01,2017-03-01,ETH#
#ETH,2018-01-01,2018-02-01,ETH#
#ETH,2018-07-01,2018-08-01,ETH#
