Lookup Term,Start,End,Company
#ETH,2013-05-01,2013-07-01,ETH#
#ETH,2014-05-01,2014-07-01,ETH#
#ETH,2015-05-01,2015-07-01,ETH#
#ETH,2016-05-01,2016-07-01,ETH#
#ETH,2017-05-01,2017-07-01,ETH#
#ETH,2018-03-01,2018-04-01,ETH#
#ETH,2018-09-01,2018-10-01,ETH#
