time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2014-03-01,2,0,181,-0.6685082872928176,0.008362713685001754,-0.6666666666666666,0.008100552879701189
2014-03-06,3,0,4,-0.25,0.004121307633880876,-0.5714285714285714,0.002355032933646215
2014-03-11,6,5,4,-0.5,0.021877958101015192,-0.6,0.026290622444818845
2014-03-16,4,3,7,0.7142857142857143,0.004694183931767638,0.6363636363636364,0.006483243984353715
2014-03-21,9,14,6,0.3333333333333333,0.010244683860055297,0.4666666666666667,0.002673885933248512
2014-03-26,4,3,10,-0.8,0.029060160480212233,-0.8571428571428571,0.01956833139459604
2014-03-31,3,0,23,-0.043478260869565216,0.016101543225302134,-0.07692307692307693,0.015402755082687632
2014-04-05,5,2,92,0.0,0.02175085150591571,-0.05154639175257732,0.021613170498730055
2014-04-10,0,0,29,0.0,0.02346435817634412,0.0,0.02346435817634412
2014-04-15,0,0,3,-0.6666666666666666,0.021905147668087124,-0.6666666666666666,0.021905147668087124
2014-04-20,7,8,4,0.25,0.03326458431683577,0.18181818181818182,0.024507709925965685
2014-04-25,0,0,2,0.0,0.005573000307783563,0.0,0.005573000307783563
2014-04-30,0,0,2,0.0,0.01422119140625,0.0,0.01422119140625
2014-05-05,1,0,2,1.0,0.007212611607142857,1.0,0.0054827008928571425
2014-05-10,1,0,6,-0.5,0.011524678634518908,-0.5714285714285714,0.012203444781968586
2014-05-15,2,4,5,-0.2,0.007484683827457266,-0.42857142857142855,0.009802737952152014
2014-05-20,14,11,21,0.7142857142857143,0.0002352602031731498,0.7142857142857143,0.009891723015327926
2014-05-25,13,8,9,-0.1111111111111111,0.015169318378708592,-0.13636363636363635,0.012476456014936322
2014-05-30,6,7,7,0.14285714285714285,0.005270598197574325,0.07692307692307693,0.0002869796334294443
2014-06-04,3,4,5,0.2,0.016989524147727274,0.125,0.016983864524147727
2014-06-09,8,6,6,0.6666666666666666,0.022601410694056915,0.5714285714285714,0.018498309571388195
2014-06-14,4,12,7,0.7142857142857143,0.0032651573602341297,0.6363636363636364,-0.0053085362253055554
2014-06-19,1,2,3,0.6666666666666666,0.007424379006410256,0.75,0.011136568509615384
2014-06-24,1,0,2,-0.5,0.026129150390625,-0.6666666666666666,0.03067220052083333
2014-06-29,2,2,4,0.0,0.012609125217516195,0.16666666666666666,0.01598947156282827
2014-07-04,1,1,1,1.0,0.027557373046875,1.0,0.027557373046875
2014-07-09,3,1,2,0.5,0.010138878455528846,0.8,0.006399301382211539
2014-07-14,16,7,5,0.2,0.0315019382148996,0.14285714285714285,0.04466773147739647
2014-07-19,18,9,7,0.14285714285714285,0.0067405757774248315,-0.4,-0.002108104861043608
2014-07-24,5,6,3,-0.6666666666666666,0.005284079294356088,-0.75,0.007210456757318405
2014-07-29,0,1,1,-1.0,0.004743303571428571,-1.0,0.004743303571428571
2014-08-03,6,6,11,-0.6363636363636364,0.027434327078192485,-0.7647058823529411,0.019096655559974293
2014-08-08,14,13,13,0.3076923076923077,0.019850824903035098,0.5185185185185185,0.017975809789872454
2014-08-13,1,0,5,0.0,0.006545366494458316,-0.16666666666666666,0.004837415896778711
2014-08-18,8,8,15,-0.13333333333333333,0.00898492603329847,-0.391304347826087,0.0066763622264373376
2014-08-23,3,4,3,0.0,0.038215571998530984,-0.16666666666666666,0.025918683435162928
2014-08-28,10,9,5,-0.6,0.009111178170219147,-0.8666666666666667,0.039958956465865246
2014-09-02,0,1,2,-0.5,-0.01145241450285539,-0.5,-0.01145241450285539
2014-09-07,3,10,5,0.6,0.012786000748693724,0.75,0.013199583801266908
2014-09-12,6,2,3,0.6666666666666666,0.004352678571428572,0.3333333333333333,0.0015128968253968254
2014-09-17,0,0,0,0.0,0.0,0.0,0.0
2014-09-22,1,1,1,1.0,0.015800041997201995,1.0,0.015800041997201995
2014-09-27,10,11,6,-0.3333333333333333,0.0022733595975783475,-0.375,0.002443936339810363
2014-10-02,11,10,5,-0.2,0.0037236141511955514,-0.625,0.0033390632413591867
2014-10-07,3,3,4,0.0,0.021199226338077675,0.42857142857142855,0.02951669066641238
2014-10-12,24,18,7,-0.7142857142857143,0.008441794208395772,-0.9354838709677419,0.00728985842156835
2014-10-17,3,6,7,0.14285714285714285,0.007518590399210843,0.3,0.005349818835003145
2014-10-22,0,0,0,0.0,0.0,0.0,0.0
2014-10-27,2,3,2,0.0,0.03754131610576923,0.0,0.03754131610576923
2014-11-01,0,0,0,0.0,0.0,0.0,0.0
2014-11-06,0,0,0,0.0,0.0,0.0,0.0
2014-11-11,0,0,0,0.0,0.0,0.0,0.0
2014-11-16,2,0,3,0.0,-0.03299473353794643,-0.2,-0.036671840122767856
2014-11-21,0,1,2,0.5,0.027343954358782088,0.5,0.027343954358782088
2014-11-26,9,5,7,-0.14285714285714285,0.013156412052816728,-0.5,0.008934991380253754
2014-12-01,21,13,13,0.3076923076923077,0.007004120332653944,0.029411764705882353,0.004045989669364377
2014-12-06,0,3,4,0.25,0.017996765285148285,0.25,0.017996765285148285
2014-12-11,20,16,8,0.375,0.013405374254221286,0.10714285714285714,0.009907870908019648
2014-12-16,4,2,6,0.0,0.02786580695734395,0.0,0.022562583132739705
2014-12-21,41,39,25,0.4,0.008478157410620048,0.30303030303030304,8.001145151332594e-06
2014-12-26,12,13,11,-0.09090909090909091,0.009583130239818759,-0.34782608695652173,0.010261267207402523
2014-12-31,3,6,3,0.0,0.01180551378928822,0.5,0.0019965068946441096
2015-01-05,31,21,6,-0.5,0.0052823798708048824,-0.24324324324324326,0.011491723516721897
2015-01-10,8,5,4,0.0,0.05932412010714716,-0.16666666666666666,0.07888234609707247
2015-01-15,11,11,6,-0.5,0.018265479786662854,-0.4117647058823529,0.0064016608754723404
2015-01-20,21,21,15,0.13333333333333333,0.009930210990543923,0.2222222222222222,0.007599251855041144
2015-01-25,18,25,17,0.29411764705882354,0.015455545303921554,0.22857142857142856,0.013230256799858864
2015-01-30,4,9,9,0.3333333333333333,0.021997539616998144,-0.07692307692307693,0.05042532874276492
2015-02-04,0,1,4,0.0,0.018858420498230874,0.0,0.018858420498230874
2015-02-09,2,10,8,0.125,0.007565010440027369,0.3,0.00718837198838553
2015-02-14,0,3,6,0.16666666666666666,0.00818322031700938,0.16666666666666666,0.00818322031700938
2015-02-19,2,3,6,0.5,-0.007523974292562988,0.5,-0.005154526530182393
2015-02-24,0,1,2,-0.5,0.019256591796875,-0.5,0.019256591796875
2015-03-01,6,18,10,0.0,0.00972232507596071,0.25,0.009071414381242805
2015-03-06,10,12,8,-0.125,0.01694622723698303,-0.3888888888888889,0.015434611712313936
2015-03-11,6,7,3,-0.3333333333333333,-0.002634745896464646,-0.7777777777777778,0.012971183186026936
2015-03-16,6,8,5,-0.2,0.01024625226254865,-0.36363636363636365,0.008776441352430121
2015-03-21,5,4,3,-0.3333333333333333,0.017829907049114507,-0.5,0.015976596953502547
2015-03-26,12,9,4,-0.25,-0.0027306189903846157,-0.4375,-0.0033869816706730773
2015-03-31,2,2,3,0.3333333333333333,0.005992220593737318,0.2,0.0052971034855037544
2015-04-05,1,2,6,-0.16666666666666666,0.005566748650242169,0.0,0.0066312885688887884
2015-04-10,3,4,4,-0.25,0.01673604464118099,0.2857142857142857,0.033256407202801444
2015-04-15,0,0,0,0.0,0.0,0.0,0.0
2015-04-20,1,2,4,0.0,0.010609525721638475,0.2,0.008712479682864229
2015-04-25,5,2,3,0.3333333333333333,0.02080083632268176,0.25,0.019935288397196667
2015-04-30,8,3,5,-0.2,0.003429146463602521,-0.07692307692307693,0.003698505305056914
2015-05-05,1,4,6,-0.5,0.02345580709820863,-0.5714285714285714,0.02411348121607818
2015-05-10,4,5,9,0.1111111111111111,0.013388676542332369,-0.07692307692307693,0.011289233066273866
2015-05-15,2,4,4,0.25,-0.0026714205168760744,0.16666666666666666,-0.0044214724730222655
2015-05-20,18,19,11,0.0,0.007619099372650109,-0.2413793103448276,0.003439531090198166
2015-05-25,2,1,10,-0.3,0.010613131186130411,-0.3333333333333333,0.007635097752646247
2015-05-30,0,3,6,0.0,0.01163240979430076,0.0,0.01163240979430076
2015-06-04,6,5,2,-0.5,-0.006058238102839543,-0.875,-0.0078187135549692
2015-06-09,0,0,1,-1.0,0.0083740234375,-1.0,0.0083740234375
2015-06-14,0,1,2,0.0,-0.006944444444444444,0.0,-0.006944444444444444
2015-06-19,1,1,6,0.5,-0.0038755176893648063,0.5714285714285714,-0.005358702662312691
2015-06-24,8,11,8,-0.125,0.002162419892752835,-0.1875,0.0035470303207220575
2015-06-29,1,3,3,-0.3333333333333333,-0.011528862847222224,0.0,-0.017435709635416664
2015-07-04,7,16,7,0.2857142857142857,0.028460714119632226,0.21428571428571427,0.019954894189120963
2015-07-09,0,0,0,0.0,0.0,0.0,0.0
2015-07-14,15,11,4,-0.75,0.0004996110122282421,-0.7894736842105263,-0.011681958827895191
2015-07-19,1,0,3,-0.6666666666666666,0.008295083530316568,-0.75,0.006221312647737426
2015-07-24,0,0,0,0.0,0.0,0.0,0.0
